Person,Board,Sector,Company Name,,Affiliation
Saurabh Mishra,OECD Expert Group on AI Risk and Accountability,Coorporation,Taiyo.AI,,
Sebastian Hallensleben,OECD Expert Group on AI Risk and Accountability,Coorporation,Resaro,,
Tatjana Evas,OECD Expert Group on AI Risk and Accountability,Government,,,EU
Theodoros Evgeniou,OECD Expert Group on AI Risk and Accountability,Academia,,,INSEAD
Thiago Guimaraes Moraes,OECD Expert Group on AI Risk and Accountability,Government,,,Brazil
Till Klein,OECD Expert Group on AI Risk and Accountability,Coorporation,appliedAI,,
Toni Lorente,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,The Future Society
Umang Bhatt,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,Alan Turing Institute
Vanja Skoric,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,European Center for Not-for-profit Law
Victor Bernhartz,OECD Expert Group on AI Risk and Accountability,Coorporation,Unionen,,
Vinay Jayarama Setty,OECD Expert Group on AI Risk and Accountability,Coorporation,Factiverse,,
Vincent Müller,OECD Expert Group on AI Risk and Accountability,Academia,,,University Erlangen-Nurnberg
Willaim Carter,OECD Expert Group on AI Risk and Accountability,Coorporation,Google,,
Yeong Zee Kin,OECD Expert Group on AI Risk and Accountability,Academia,,,Singapore Academy of Law
Yoav Evenstein,OECD Expert Group on AI Risk and Accountability,Academia,,,Tel Aviv University
Yolanda Lannquist,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,The Future Society
Yordanka Ivanova,OECD Expert Group on AI Risk and Accountability,Government,,,EU
Marc Andreessen,President's Council of Advisors on Science and Technology,Coorporation,Andreessen Horowitz,,
Sergey Brin,President's Council of Advisors on Science and Technology,Coorporation,Google,,
Safra Catz,President's Council of Advisors on Science and Technology,Coorporation,Oracle,,
Michael Dell,President's Council of Advisors on Science and Technology,Coorporation,Dell,,
Jacob DeWitte,President's Council of Advisors on Science and Technology,Coorporation,Okolo,,
Fred Ehrsam,President's Council of Advisors on Science and Technology,Coorporation,Coinbase,,
Larry Ellison,President's Council of Advisors on Science and Technology,Coorporation,Oracle,,
David Friedberg,President's Council of Advisors on Science and Technology,Coorporation,Ohalo,,
Jensen Huang,President's Council of Advisors on Science and Technology,Coorporation,NVIDIA,,
John Martinis,President's Council of Advisors on Science and Technology,Academia,,,UC Berkeley
Bob Mumgaard,President's Council of Advisors on Science and Technology,Coorporation,Comonwealth Fusion Systems,,
Lisa Su,President's Council of Advisors on Science and Technology,Coorporation,AMD,,
Mark Zuckerberg,President's Council of Advisors on Science and Technology,Coorporation,Meta,,
Aneesh Chopra,National AI Advisory Committee,Coorporation,Arcadia,,
Beth Cobert,National AI Advisory Committee,Coorporation,CBRE Group,,
Angie Cooper,National AI Advisory Committee,Nonprofit,,,Heartland Forward
Christopher Howard,National AI Advisory Committee,Government,,,ASU Police
Armando Aguilar,National AI Advisory Committee,Government,,,Miami Police
Anthony Bak,National AI Advisory Committee,Coorporation,Palantir,,
Jane Bambauer,National AI Advisory Committee,Academia,,,University of Florida
Farhang Heydari,National AI Advisory Committee,Academia,,,Vanderbilt
James Hutchison,National AI Advisory Committee,Nonprofit,,,Security Industry Association
Rashawn Roy,National AI Advisory Committee,Nonprofit,,,AIR Equity Initiative
Cynthia Rudin,National AI Advisory Committee,Academia,,,Duke University
Abdelrahman Almahmoud,World Economic Forum Global Future Council on Artificial General Intelligence,Government,,,UAE
Akiko Murakami,World Economic Forum Global Future Council on Artificial General Intelligence,Government,,,Japan
Atoosa Kasirzadeh,World Economic Forum Global Future Council on Artificial General Intelligence,Academia,,,Carnegie Mellon
Beth Barnes,World Economic Forum Global Future Council on Artificial General Intelligence,Nonprofit,,,METR
Chris Meserole,World Economic Forum Global Future Council on Artificial General Intelligence,Nonprofit,,,Frontier Model Forum
Dan Hendrycks,World Economic Forum Global Future Council on Artificial General Intelligence,Nonprofit,,,Center for AI Safety
Dawn Bloxwich,World Economic Forum Global Future Council on Artificial General Intelligence,Coorporation,Google,,
Dawn Song,World Economic Forum Global Future Council on Artificial General Intelligence,Academia,,,UC Berkeley
Hiroaki Kitano,World Economic Forum Global Future Council on Artificial General Intelligence,Coorporation,Sony,,
Jaan Tallinn,World Economic Forum Global Future Council on Artificial General Intelligence,Academia,,,Cambridge University
Kristin Lauter,World Economic Forum Global Future Council on Artificial General Intelligence,Coorporation,Meta,,
Max Tegmark,World Economic Forum Global Future Council on Artificial General Intelligence,Academia,,,MIT
Natasha Crampton,World Economic Forum Global Future Council on Artificial General Intelligence,Coorporation,Microsoft,,
Rebecca Weiss,World Economic Forum Global Future Council on Artificial General Intelligence,Nonprofit,,,MLCommons
